2025-03-09 23:15:39 | Context Window: 8 | Step 1000 | Moving Avg Loss: 5.1204
2025-03-09 23:44:10 | Context Window: 8 | Step 2000 | Moving Avg Loss: 5.3677
2025-03-10 00:12:36 | Context Window: 8 | Step 3000 | Moving Avg Loss: 5.4466
-- training data
2025-03-10 00:48:13 | Context Window: 7 | Step 1000 | Moving Avg Loss: 5.0273
2025-03-10 01:13:29 | Context Window: 7 | Step 2000 | Moving Avg Loss: 5.1703
-- training data
2025-03-10 01:54:12 | Context Window: 7 | Step 1000 | Moving Avg Loss: 6.1151
2025-03-10 02:19:19 | Context Window: 7 | Step 2000 | Moving Avg Loss: 6.3453
2025-03-10 02:44:43 | Context Window: 7 | Step 3000 | Moving Avg Loss: 6.1668
2025-03-10 03:10:00 | Context Window: 7 | Step 4000 | Moving Avg Loss: 6.3506
-- training data
2025-03-10 03:54:20 | Context Window: 7 | Step 1000 | Moving Avg Loss: 9.9144
2025-03-10 04:19:44 | Context Window: 7 | Step 2000 | Moving Avg Loss: 9.6927
-- training data
2025-03-10 04:45:08 | Context Window: 7 | Step 1000 | Moving Avg Loss: 7.7759
2025-03-10 05:10:06 | Context Window: 7 | Step 2000 | Moving Avg Loss: 7.6799
2025-03-10 05:35:05 | Context Window: 7 | Step 3000 | Moving Avg Loss: 8.3964
2025-03-10 05:59:52 | Context Window: 7 | Step 4000 | Moving Avg Loss: 8.4129
2025-03-10 06:24:48 | Context Window: 7 | Step 5000 | Moving Avg Loss: 8.2474
2025-03-10 06:49:48 | Context Window: 7 | Step 6000 | Moving Avg Loss: 8.0212
2025-03-10 07:14:45 | Context Window: 7 | Step 7000 | Moving Avg Loss: 7.8536
2025-03-10 07:39:42 | Context Window: 7 | Step 8000 | Moving Avg Loss: 7.8536
2025-03-10 08:04:38 | Context Window: 7 | Step 9000 | Moving Avg Loss: 7.4469
2025-03-10 08:29:35 | Context Window: 7 | Step 10000 | Moving Avg Loss: 7.2260
2025-03-10 08:54:29 | Context Window: 7 | Step 11000 | Moving Avg Loss: 7.2178
2025-03-10 09:19:23 | Context Window: 7 | Step 12000 | Moving Avg Loss: 7.0761
2025-03-10 09:44:22 | Context Window: 7 | Step 13000 | Moving Avg Loss: 6.9324
2025-03-10 10:09:15 | Context Window: 7 | Step 14000 | Moving Avg Loss: 6.8004
2025-03-10 10:34:10 | Context Window: 7 | Step 15000 | Moving Avg Loss: 6.7466
2025-03-10 10:59:06 | Context Window: 7 | Step 16000 | Moving Avg Loss: 6.6475
2025-03-10 11:24:05 | Context Window: 7 | Step 17000 | Moving Avg Loss: 6.5555
2025-03-10 11:49:10 | Context Window: 7 | Step 18000 | Moving Avg Loss: 6.5659
2025-03-10 12:14:30 | Context Window: 7 | Step 19000 | Moving Avg Loss: 6.6222
2025-03-10 12:40:25 | Context Window: 7 | Step 20000 | Moving Avg Loss: 6.5234
-- training data
2025-03-10 13:09:12 | Context: 7 | LR: 0.0001 | Step 1000 | Avg Loss: 5.2566
2025-03-11 15:44:00 | Context: 7 | LR: 0.0002 | Step 3000 | Avg Loss: 3.8219
2025-03-11 16:09:12 | Context: 7 | LR: 0.0002 | Step 4000 | Avg Loss: 3.9452
-- random poems
2025-03-11 16:48:02 | Context: 7 | LR: 0.0002 | Step 1000 | Avg Loss: 7.6917
2025-03-11 17:13:36 | Context: 7 | LR: 0.0002 | Step 2000 | Avg Loss: 6.9463
2025-03-11 17:43:29 | Context: 7 | LR: 0.0002 | Step 1000 | Avg Loss: 4.7581
2025-03-11 18:08:59 | Context: 7 | LR: 0.0002 | Step 2000 | Avg Loss: 4.4058
-- random poems
2025-03-11 18:37:10 | Context: 7 | LR: 0.0002 | Step 1000 | Avg Loss: 5.6926
2025-03-11 19:02:37 | Context: 7 | LR: 0.0002 | Step 2000 | Avg Loss: 3.5649
2025-03-11 19:45:09 | Context: 7 | LR: 0.0002 | Step 1000 | Avg Loss: 4.0670
2025-03-11 20:11:37 | Context: 7 | LR: 0.0002 | Step 2000 | Avg Loss: 2.5145
-- line sorted training data
2025-03-14 19:49:57 | Context: 7 | LR: 5e-05 | Step 1000 | Avg Loss: 5.6510
2025-03-14 20:19:08 | Context: 7 | LR: 5e-05 | Step 2000 | Avg Loss: 5.0811
2025-03-14 20:48:21 | Context: 7 | LR: 5e-05 | Step 3000 | Avg Loss: 5.2734
2025-03-14 21:17:46 | Context: 7 | LR: 5e-05 | Step 4000 | Avg Loss: 4.1162
2025-03-14 21:47:06 | Context: 7 | LR: 5e-05 | Step 5000 | Avg Loss: 3.9836
--
2025-03-14 22:34:55 | Context: 7 | LR: 0.00001 | Step 1000 | Avg Loss: 13.6095
--- 2025-03-15 02:24:28 ---

--- 2025-03-15 02:47:10 ---
2025-03-15 03:44:00 | Context: [[2, 4, 7, 10, 12]] | LR: 0.00005 | Step 1000 | Avg Loss: 27.6385
2025-03-15 04:41:51 | Context: [[2, 4, 7, 10, 12]] | LR: 0.00005 | Step 2000 | Avg Loss: 29.1752

--- 2025-03-15 08:28:41 ---
2025-03-15 09:30:33 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 1000 | Avg Loss: 175.2150
2025-03-15 10:31:31 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 2000 | Avg Loss: 166.2583
2025-03-15 11:32:26 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 3000 | Avg Loss: 126.2650
2025-03-15 12:33:21 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 4000 | Avg Loss: 112.0541
2025-03-15 13:34:20 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 5000 | Avg Loss: 101.1901
2025-03-15 14:35:17 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 6000 | Avg Loss: 96.8690
2025-03-15 15:36:24 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 7000 | Avg Loss: 79.7548

--- 2025-03-15 15:50:45 ---
2025-03-15 16:51:21 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 1000 | Avg Loss: 105.4596

--- 2025-03-15 17:22:40 ---

--- 2025-03-15 17:26:13 ---
2025-03-15 18:26:50 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 1000 | Avg Loss: 75.4626
2025-03-15 19:28:18 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 2000 | Avg Loss: 72.1213

--- 2025-03-15 20:07:41 ---
2025-03-15 21:08:10 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 1000 | Avg Loss: 117.7844
2025-03-15 22:08:32 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 2000 | Avg Loss: 116.9606
2025-03-15 23:09:13 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 3000 | Avg Loss: 103.9343

--- 2025-03-15 23:19:20 ---

--- 2025-03-15 23:26:46 ---

--- 2025-03-15 23:35:03 ---
2025-03-16 00:39:45 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 1000 | Avg Loss: 53.2855

--- 2025-03-16 01:28:02 ---
2025-03-16 02:33:34 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 1000 | Avg Loss: 71.5020
2025-03-16 03:39:13 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 2000 | Avg Loss: 71.1600
2025-03-16 04:44:33 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 3000 | Avg Loss: 68.9724
2025-03-16 05:49:56 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 4000 | Avg Loss: 69.2622
2025-03-16 06:55:31 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 5000 | Avg Loss: 63.1590
2025-03-16 08:01:00 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 6000 | Avg Loss: 73.7219
2025-03-16 09:06:27 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 7000 | Avg Loss: 66.5218
2025-03-16 10:13:09 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 8000 | Avg Loss: 64.0394
2025-03-16 11:18:33 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 9000 | Avg Loss: 66.8529
2025-03-16 12:23:58 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 10000 | Avg Loss: 57.8962
2025-03-16 13:29:33 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 11000 | Avg Loss: 58.5336

--- 2025-03-16 14:23:55 ---
2025-03-16 15:28:23 | Context: [[9, 3, 7, 11, 13]] | LR: 0.00020 | Step 1000 | Avg Loss: 60.8662

--- 2025-03-16 16:12:02 ---

--- 2025-03-16 16:17:21 ---

--- 2025-03-16 16:19:29 ---

--- 2025-03-16 16:25:54 ---

--- 2025-03-16 16:34:11 ---

--- 2025-03-16 16:35:32 ---

--- 2025-03-16 16:36:50 ---

--- 2025-03-16 16:39:02 ---

--- 2025-03-16 16:40:04 ---

--- 2025-03-16 16:41:28 ---

--- 2025-03-16 16:45:08 ---

--- 2025-03-16 16:45:53 ---

--- 2025-03-16 17:02:28 ---

--- 2025-03-16 17:04:25 ---

--- 2025-03-16 17:06:37 ---

--- 2025-03-17 00:49:52 ---

--- 2025-03-17 00:54:42 ---

--- 2025-03-17 01:01:08 ---

--- 2025-03-17 01:08:02 ---

--- 2025-03-17 01:13:13 ---

--- 2025-03-17 01:24:42 ---

--- 2025-03-17 01:32:35 ---

--- 2025-03-17 01:56:10 ---

--- 2025-03-17 01:56:55 ---

--- 2025-03-17 02:00:40 ---

--- 2025-03-17 02:37:49 ---

--- 2025-03-17 02:48:28 ---

--- 2025-03-17 03:00:01 ---
2025-03-17 04:42:26 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 1000 | Avg Loss: 3625.2183
2025-03-17 06:24:46 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 2000 | Avg Loss: 2237.6094
2025-03-17 08:06:29 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 3000 | Avg Loss: 1633.9009

--- 2025-03-17 21:11:37 ---
2025-03-17 22:51:28 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 1000 | Avg Loss: 589.2771
2025-03-18 00:31:41 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 2000 | Avg Loss: 152.6011
2025-03-18 02:11:34 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 3000 | Avg Loss: 88.0916

--- 2025-03-18 02:12:19 ---

--- 2025-03-18 02:30:10 ---
2025-03-18 04:07:30 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 1000 | Avg Loss: 100.7377
2025-03-18 05:44:35 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 2000 | Avg Loss: 64.9020
2025-03-18 07:21:41 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 3000 | Avg Loss: 54.9764
2025-03-18 08:59:04 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 4000 | Avg Loss: 58.9541
2025-03-18 10:36:44 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 5000 | Avg Loss: 50.4217

--- 2025-03-19 02:03:07 ---
2025-03-19 03:45:43 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 1000 | Avg Loss: 62.5292
2025-03-19 05:23:43 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 2000 | Avg Loss: 37.8770
2025-03-19 07:01:54 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 3000 | Avg Loss: 34.7198
2025-03-19 08:40:57 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 4000 | Avg Loss: 35.2961
2025-03-19 10:26:09 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 5000 | Avg Loss: 33.4100
2025-03-19 12:05:21 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 6000 | Avg Loss: 32.2971

--- 2025-03-19 18:20:41 ---
2025-03-19 20:06:32 | Context: [[11, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 1000 | Avg Loss: 23.2544

--- 2025-03-19 21:16:24 ---
2025-03-19 22:57:58 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 1000 | Avg Loss: 65.3742
2025-03-20 00:41:01 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 2000 | Avg Loss: 64.0398
2025-03-20 02:22:11 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 3000 | Avg Loss: 56.9668
2025-03-20 04:02:53 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 4000 | Avg Loss: 61.5089
2025-03-20 05:43:25 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 5000 | Avg Loss: 60.7164
2025-03-20 07:24:46 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 6000 | Avg Loss: 41.1194
2025-03-20 09:05:56 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 7000 | Avg Loss: 30.8484
2025-03-20 10:46:47 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 8000 | Avg Loss: 30.6600
2025-03-20 12:29:15 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 9000 | Avg Loss: 29.2811
2025-03-20 14:12:25 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 10000 | Avg Loss: 26.3999
2025-03-20 16:01:30 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 11000 | Avg Loss: 32.8054
2025-03-20 17:43:48 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 12000 | Avg Loss: 25.6108
2025-03-20 19:29:39 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 13000 | Avg Loss: 25.5839
2025-03-20 21:11:56 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 14000 | Avg Loss: 21.7327
2025-03-20 22:56:24 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 15000 | Avg Loss: 17.8232
2025-03-21 00:38:52 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 16000 | Avg Loss: 19.7290
2025-03-21 02:21:11 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 17000 | Avg Loss: 23.9814
2025-03-21 04:02:29 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 18000 | Avg Loss: 30.8952

--- 2025-03-21 05:06:44 ---

--- 2025-03-21 05:26:11 ---

--- 2025-03-21 05:32:36 ---

--- 2025-03-21 05:36:05 ---

--- 2025-03-21 05:43:42 ---

--- 2025-03-21 05:47:55 ---

--- 2025-03-21 05:49:28 ---

--- 2025-03-21 05:50:47 ---

--- 2025-03-21 05:52:26 ---

--- 2025-03-21 05:53:35 ---

--- 2025-03-21 05:56:44 ---

--- 2025-03-21 05:58:03 ---

--- 2025-03-21 05:59:10 ---

--- 2025-03-21 05:59:37 ---

--- 2025-03-23 12:49:08 ---

--- 2025-03-23 13:00:33 ---

--- 2025-03-23 17:03:35 ---

--- 2025-03-23 18:44:45 ---

--- 2025-03-23 19:15:36 ---

--- 2025-03-23 19:35:41 ---

--- 2025-03-23 20:43:31 ---

--- 2025-03-23 21:17:03 ---

--- 2025-03-24 05:07:52 ---
2025-03-24 09:48:14 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 1000 | Avg Loss: 10.4622
Logits: -5.18 → 30.39
Final window weightings: [0.00527667 0.14834726 0.17709954 0.22188371 0.06689363 0.20937636
 0.1616922  0.15246983 0.11578511]
2025-03-24 14:25:14 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 2000 | Avg Loss: 11.5124
Logits: -19.82 → 20.65
Final window weightings: [0.00483644 0.14447205 0.17561541 0.22050051 0.06355041 0.20992297
 0.16369244 0.15577094 0.11785332]
2025-03-24 19:00:02 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 3000 | Avg Loss: 11.4634
Logits: -15.87 → 14.35
Final window weightings: [0.00614127 0.13422105 0.17375761 0.22230951 0.05572227 0.2110369
 0.16639964 0.16248846 0.11906446]
2025-03-24 23:39:42 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 4000 | Avg Loss: 11.2551
Logits: 0.68 → 40.75
Final window weightings: [0.01508978 0.13255174 0.17058079 0.21897869 0.05430212 0.21315287
 0.16579753 0.15877317 0.11805566]
2025-03-25 04:16:09 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 5000 | Avg Loss: 11.1441
Logits: -17.23 → 3.66
Final window weightings: [0.01798254 0.13487493 0.16934887 0.21599756 0.05031135 0.21415715
 0.1648607  0.15820913 0.11790013]
2025-03-25 08:54:37 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 6000 | Avg Loss: 10.4518
Logits: -22.63 → -5.79
Final window weightings: [0.02083565 0.12947638 0.16537148 0.21453753 0.0486146  0.21529475
 0.16834056 0.16010961 0.11760522]
2025-03-25 13:37:53 | Context: [[7, 1, 2, 3, 7, 8, 13, 15, 18]] | LR: 0.00035 | Step 7000 | Avg Loss: 10.3991
Logits: -0.50 → 48.82
